OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
532;Sweden;Stora Middelgrund;108;864;Planned;;24805,73111;59,82613076; ;0,438333879;0,008754243
533;Sweden;Lovstaviken;5;11,5;Production;;0;0,193854163; ;0,021376212;2,85589E-05
534;Sweden;Kattegatt Offshore;50;282;Approved;;6381,649369;22,11103672; ;0,22736688;0,003252245
535;United Kingdom;Galson (Lewis 10MW);10;10;Planned;;45,48415879;4,756626665; ;0,124677946;0,000730802
536;United Kingdom;Islay Demo Zone;10;10;Approved;;1122,942248;27,6115373; ;0,291914444;0,003945596
537;United Kingdom;North West Lewis (30MW);30;30;Planned;;0;51,06208116; ;1,28208171;0,007829191
538;United Kingdom;Brough Ness;66;99;Planned;;262,1046839;2,990515215; ;0,139682917;0,000463452
539;United Kingdom;Brims Tidal Array;200;200;Planned;;410,9712953;11,031453; ;0,317196709;0,001711473
540;United Kingdom;Brough Head;50;50;Planned;;0;24,11597888; ;0,934577208;0,003776121
541;United Kingdom;EMEC Stronsay Firth;;;Planned;;67,06070359;23,7013915; ;0,265970601;0,003709285
542;United Kingdom;Firth of Forth Met Mast;1;;Production;;29720,43471;0,010007041; ;0,0050552;1,46355E-06
543;United Kingdom;Portland Bill;;30;Planned;;1614,487128;3,095955505; ;0,10723533;0,000392257
544;United Kingdom;Mull of Galloway;;;Planned;;604,7298762;3,625768421; ;0,102842275;0,000504305
545;United Kingdom;Ness of Duncansby;;100;Planned;;680,4353493;2,424330032; ;0,099874014;0,000375031
546;United Kingdom;NOAH Met Mast;1;;Production;;4983,967117;0,195833173; ;0,01971893;2,75889E-05
547;United Kingdom;North Devon Demo Zone;;;Dismantled;;170,7414017;34,13617843; ;0,442441782;0,00439474
548;United Kingdom;Sanda Sound;;0,035;Approved;;653,0547452;0,020180668; ;0,011264456;2,85414E-06
549;United Kingdom;Scarweather Sands Met Mast;1;;Dismantled;;8166,582792;0,031385359; ;0,007443049;4,06052E-06
550;United Kingdom;Shell Flats No. 1 (Western) Met Mast;1;;Production;;15769,86446;0,031392596; ;0,007722959;4,28674E-06
551;United Kingdom;Shell Flats No. 2 (Eastern) Met Mast;1;;Production;;10035,84887;0,031393373; ;0,007724787;4,28824E-06
552;United Kingdom;South Pembrokeshire Demonstration Zone;;180;Planned;;13086,86962;90,40250504; ;0,520160857;0,011696128
553;United Kingdom;St David's Head;1;10;Dismantled;;247,6600386;1,619174959; ;0,068267506;0,000211441
554;United Kingdom;Strangford Lough Array;;20;Planned;;127,2565496;0,513987603; ;0,056061277;7,10212E-05
555;United Kingdom;Strangford Lough SeaGen;1;1,2;Dismantled;;277,4575402;0,00782893; ;0,003890644;1,08213E-06
556;United Kingdom;Westray South;200;200;Planned;;560,0883765;12,64123084; ;0,205457902;0,001984578
557;United Kingdom;Docking Shoal Met Mast;1;;Dismantled;;18889,82124;0,031374045; ;0,007633983;4,21446E-06
558;Denmark;Fanm Bugt;;;Planned;;16822,22361;236,2384204; ;0,89461495;0,033356358
559;Denmark;Frederikshavn;;;Planned;;8136,957541;522,3975997; ;1,41422614;0,078329027
560;Denmark;Nordsren II vest;;;Planned;;107551,0544;353,5338051; ;1,149829618;0,050582144
561;Denmark;Vesterhav Syd;21;168;Approved;;4096,542123;46,58809582; ;0,397145007;0,006716204
562;Denmark;Bornholm II;;;Planned;;8013,135861;661,3359496; ;2,115383648;0,092368098
563;Denmark;Jammerbugt;;;Planned;;19922,75591;162,2304015; ;1,199551538;0,02422068
564;Denmark;Krigers Flak Nord;;;Planned;;15010,56236;98,08013717; ;0,570941879;0,013819807
565;Denmark;Kattegat I;;;Planned;;15019,33592;914,1376362; ;2,067095608;0,134727187
566;Denmark;Kattegat II;;;Planned;;14997,41804;122,0391419; ;0,837776047;0,017732582
567;Denmark;Nordsren III vest;;;Planned;;109379,6883;4484,323143; ;4,609766598;0,648767079
568;Denmark;Vesterhav Nord;20;176;Construction;;3994,347038;58,39284738; ;0,449470812;0,008542773
569;Denmark;Bornholm I;;;Planned;;5278,915471;422,0729934; ;1,426312203;0,059225466
570;Denmark;Bornholm III;;;Planned;;41701,4416;61,09073468; ;0,632983291;0,008487486
571;Denmark;Nordsren II;;;Planned;;49194,17295;1872,94141; ;2,71549342;0,271655864
572;Denmark;Bornholm I;;;Planned;;5000,55138;71,20235897; ;0,422362478;0,010035933
573;Denmark;Jyske Banke;;;Planned;;43772,74317;802,712231; ;3,04486904;0,118727833
574;Denmark;Krigers Flak Syd;;;Planned;;14997,87344;75,25241159; ;0,722000024;0,010536173
575;Denmark;Nordsren III;;;Planned;;73863,31626;1642,587692; ;2,30798522;0,24007788
576;Denmark;Thor - 2020 Tender;;1000;Planned;;19876,53953;440,2826455; ;1,232791943;0,063930034
577;Denmark;Hesselk;;;Planned;;19402,92127;246,8517335; ;0,917985426;0,035948583
