OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
597;Belgium;Belwind Alstom Haliade Demonstration;1;6;Production;2013;43900,77701; 
598;Belgium;Belwind I;55;165;Production;2010;43617,79323; 
599;Belgium;Thorntonbank Part 1;6;30,45;Production;2008;26229,41122; 
600;Belgium;Thorntonbank Part 2;30;184,5;Production;2013;26856,87531; 
601;Belgium;Thorntonbank Part 3;18;110,7;Production;2013;27111,35891; 
602;Denmark;Bochers Banke;;1102,5;Planned;;17145,55062; 
603;Denmark;Bornholm Bassin Ost;;1500;Planned;;41357,16176; 
604;Denmark;Bornholm Bassin Syd;;1500;Planned;;52608,85867; 
605;Denmark;Femern;;400;Planned;;1762,153578; 
606;Denmark;Femern Bugt;;300;Planned;;10406,50282; 
607;Denmark;Frederikshavn Nord;;500;Planned;;5195,75953; 
608;Denmark;Freya;;1500;Planned;;60389,95911; 
609;Denmark;Gilleleje;;210;Planned;;6142,347249; 
610;Denmark;Gjerrild Bugt;;400;Planned;;9734,381239; 
611;Denmark;Grena;;315;Planned;;9862,080525; 
612;Denmark;Guldborgsund;;500;Planned;;8306,535564; 
613;Denmark;Guldborgsund Syd;;500;Planned;;3520,970994; 
614;Denmark;Hanstholm Syd;;500;Planned;;15722,17106; 
615;Denmark;Hirtshals Havn Offshore;;350;Planned;;4444,277108; 
616;Denmark;Hirtshals Havn Syd;;500;Planned;;7209,973165; 
617;Denmark;Jyske Banke Nord;;1050;Planned;;54148,66914; 
618;Denmark;Klintebjerg;;585;Planned;;12164,91089; 
619;Denmark;Laeso;;540;Planned;;12084,02427; 
620;Denmark;Lillebælt-Syd (Lillegrund);;160;Planned;;8396,573136; 
621;Denmark;Lolland;;253;Planned;;20502,86457; 
622;Denmark;Lolland Syd;;260;Planned;;5702,088481; 
623;Denmark;Lysegrund;;550;Planned;;10304,95553; 
624;Denmark;Norddjurs;;650;Planned;;18177,95313; 
625;Denmark;Odin (DK);;2250;Planned;;130406,8978; 
626;Denmark;Romo;;500;Planned;;11281,93967; 
627;Denmark;Rønland;4;8;Production;2003;476,3378314; 
628;Denmark;Rønland;4;9,2;Production;2003;476,3378314; 
629;Denmark;Samso;9;20,7;Production;2003;5333,283238; 
630;Denmark;Samso;1;2,3;Dismantled;2018;5333,283238;2018
631;Denmark;Samso;1;2,3;Production;2018;5333,283238; 
632;Denmark;Sonderbjerg;;285;Planned;;7410,848109; 
633;Denmark;Stevns Nord;;350;Planned;;5186,762357; 
634;Denmark;Stokkebro;;210;Planned;;23265,80119; 
635;Denmark;Thybo;;4000;Planned;;115086,0186; 
636;Denmark;Thybo II;;1760;Planned;;45544,13602; 
637;Denmark;Tuno Knob;10;5;Production;1995;2972,107587; 
638;Denmark;Vigso Bay;;450;Planned;;5189,609834; 
639;Denmark;Vikinge Banke;;1140;Planned;;173112,9498; 
640;Denmark;Vindeby-Lolland;11;4,95;Dismantled;1991;1676,312857;2017
641;Estonia;Area 1 - Eesti Energia;;1005;Planned;;12277,07761; 
642;Estonia;Area 2 - Eesti Energia;;1005;Planned;;13651,72717; 
643;Estonia;ELWIND;;1000;Planned;;10812,7116; 
644;Estonia;European Energy Estonia OÜ;;1000;Planned;;36846,35369; 
645;Estonia;Liivi Iaht;;960;Planned;;13628,2809; 
646;Estonia;Loode-Eesti Meretuulepark;200;1100;Planned;;8027,171153; 
647;Estonia;Nasva Offshore;;;Planned;;984,0870188; 
648;Estonia;Neugrund;38;234;Planned;;8226,240285; 
649;Estonia;Roheline Elekter;;;Planned;;15599,33216; 
650;Estonia;Ruhnu 1;;1000;Planned;;21355,62699; 
651;Estonia;Ruhnu 2;;1000;Planned;;20417,54488; 
652;Estonia;RWE Area 23;;2120;Planned;;38835,8673; 
653;Estonia;Saare;100;600;Planned;;17436,67701; 
654;Estonia;Saare Liivi 1;;1200;Planned;;23043,67636; 
655;Estonia;Saare Liivi 2;;1200;Planned;;19551,2175; 
656;Estonia;Saare Liivi 3;;1200;Planned;;18002,21338; 
657;Estonia;Saare Liivi 4;;1200;Planned;;22587,6116; 
658;Estonia;Sõrve;;1200;Planned;;17087,59829; 
659;Estonia;Sõrve 2;;1200;Planned;;15059,82755; 
660;Estonia;Sunly SW1;;84;Planned;;19392,69232; 
661;Estonia;Sunly SW10;;72;Planned;;25851,33145; 
662;Estonia;Sunly SW11;;108;Planned;;27920,97541; 
663;Estonia;Sunly SW12;;72;Planned;;23116,20209; 
664;Estonia;Sunly SW13;;72;Planned;;23116,20209; 
665;Estonia;Sunly SW2;;114;Planned;;15080,9391; 
666;Estonia;Sunly SW3;;144;Planned;;15706,99356; 
667;Estonia;Sunly SW4;;132;Planned;;11615,19806; 
668;Estonia;Sunly SW5;;84;Planned;;11157,10637; 
669;Estonia;Sunly SW6;;492;Planned;;13029,02031; 
670;Estonia;Sunly SW7;;252;Planned;;20115,39812; 
671;Estonia;Sunly SW8;;120;Planned;;25473,22234; 
672;Estonia;Sunly SW9;;120;Planned;;32967,48894; 
673;Estonia;Tuuletraal;;1050;Planned;;31280,16435; 
674;Finland;Ajos 1;1;3;Dismantled;2005;14,59668308;2016
675;Finland;Ajos 2-3;2;6;Dismantled;2008;617,8415592;2016
676;Finland;Ajos 4;1;3;Dismantled;2008;53,04014984;2016
677;Finland;Ajos 5;1;3;Dismantled;2007;627,5147217;2016
678;Finland;Ajos 6-7;2;6;Dismantled;2008;53,04014984;2016
679;Finland;Ajos 8-9-10-11;4;12;Dismantled;2008;53,04014984;2016
680;Finland;Ajos Repowering;8;26,4;Production;2017;787,9264653; 
681;Finland;Ajos Repowering;5;16;Production;2017;787,9264653; 
682;Finland;Halla;;1920;Planned;;33096,25476; 
683;Finland;Inkoo;60;300;Planned;;4411,254665; 
684;Finland;Jakobstad;;800;Planned;;32691,16669; 
685;Finland;Kemi Ajos III;;189;Planned;;1272,295508; 
686;Finland;Korsnäs - Forststyrelsen;;;Planned;;15298,49182; 
687;Finland;Laine;;1800;Planned;;31855,12917; 
688;Finland;Noatun;;3000;Planned;;4968,366282; 
689;Finland;Noatun Syd;;3000;Planned;;14040,41979; 
690;Finland;Norrskar;;1550;Planned;;37726,72135; 
691;Finland;Pori Offshore 1;1;2,3;Production;2010;918,3750599; 
692;Finland;Pori-Tahkoluoto Extension;;;Planned;;4409,467396; 
693;Finland;Pori-Tahkoluoto Pori 2;10;42;Production;2017;5511,385051; 
694;Finland;Raahe Maanahkiaisen;70;350;Planned;;8449,569077; 
695;Finland;Raahe Pertunmatala;24;72;Planned;;7455,991538; 
696;Finland;Stormskar;;1725;Planned;;19827,31079; 
697;Finland;Tyrsky;;1400;Planned;;13064,90044; 
698;Finland;Ulkonahkiainen;70;210;Planned;;17882,33654; 
699;Finland;Vaderskar;;375;Planned;;6360,625103; 
700;Finland;Voima;;1500;Planned;;32503,27472; 
701;Finland;Wellamo;;2000;Planned;;16579,77092; 
702;France;AFLOWT France;;6;Planned;;5500,835013; 
703;France;Eolink 20 MW Prototype;;20;Planned;;6414,32643; 
704;France;Eolink Commercial;;250;Planned;;6414,32643; 
705;France;Eolink Démonstrateur;;5;Approved;;10339,6517; 
706;France;Eolink GW Scale;;1000;Planned;;6414,32643; 
707;France;Eolink Prototype;1;0,2;Dismantled;2018;406,0453311;
708;France;FLOATGEN Demonstrator 1  IDEOL Gamesa;1;2;Production;2018;10604,74102; 
709;France;Golfe du Lion;3;30;Construction;;18817,98393; 
710;France;Ideol & Quadran Floating Project;;500;Planned;;27892,70008; 
711;France;Mistral;;10;Approved;;4899,105021; 
712;France;NextFloat;;6;Planned;;4796,078163; 
713;France;Provence Grand Large;3;25,2;Construction;;16766,3112; 
714;France;SEM-REV;;8;Production;2015;10400,68077; 
715;Germany;AquaPrimus;;28;Planned;;5263,970474; 
716;Germany;Atlantis I;;613;Planned;;86637,28072; 
717;Germany;Borkum Riffgrund II;20;166,6;Production;2018;41846,56335; 
718;Germany;Borkum Riffgrund II;36;298,8;Production;2018;41846,56335; 
719;Germany;Breitling;1;2,5;Production;2006;358,7922517; 
720;Germany;Emden Offshore;1;4,5;Production;2004;378,400967; 
721;Germany;Gode Wind III;;111;Construction;;35336,82485; 
722;Germany;Gode Wind III;;131,75;Construction;;35336,82485; 
723;Germany;Hooksiel;1;5;Dismantled;2008;758,4019571;2016
724;Germany;Kaskasi;38;342;Production;2022;35425,74303; 
725;Germany;Meerwind Ost;40;151,2;Production;2015;26124,92927; 
726;Germany;Meerwind Süd;40;151,2;Production;2015;26124,92927; 
727;Germany;Nordlicht I;;930;Planned;;81616,68855; 
728;Germany;North Sea Cluster Delta Nordsee 1&2;;210;Planned;;41713,65941; 
729;Germany;North Sea Cluster Gode Wind;;225;Planned;;37361,86839; 
730;Germany;North Sea Cluster Nordsee Two;;433;Planned;;43159,1357; 
731;Germany;Windanker;;300;Planned;;42328,25508; 
732;Greece;Aegean Islands;;;Planned;;31873,25497; 
733;Greece;Diapontia Wind phase Five;4;20;Planned;;910,6565296; 
734;Greece;Diapontia Wind phase Nine;6;30;Planned;;4909,969733; 
735;Greece;Diapontia Wind phase Seven;3;15;Planned;;4125,546608; 
736;Greece;Diapontia Wind phase Six;4;20;Planned;;1494,483331; 
737;Greece;Musica 1;;;Planned;;2751,752447; 
738;Greece;Musica 2;;;Planned;;4009,577221; 
739;Greece;Thrakiki Wind 1 Thrakiki Aioliki 1;;24;Planned;;1711,239098; 
740;Greece;Thrakiki Wind 1 Thrakiki Aioliki 2;;24;Planned;;1120,366528; 
741;Greece;Thrakiki Wind 1 Thrakiki Aioliki 3;;24;Planned;;1214,251514; 
742;Greece;Thrakiki Wind 1 Thrakiki Aioliki 4;;24;Planned;;1924,170218; 
743;Greece;Thrakiki Wind 1 Thrakiki Aioliki 5;;24;Planned;;2228,273086; 
744;Greece;Thrakiki Wind 1 Thrakiki Aioliki 6;;24;Planned;;3029,678313; 
745;Greece;Thrakiki Wind 1 Thrakiki Aioliki 7;;24;Planned;;1918,792909; 
746;Greece;Thrakiki Wind 1 Thrakiki Aioliki 8;;24;Planned;;2472,113007; 
747;Greece;Thrakiki Wind 1 Thrakiki Aioliki 9;;24;Planned;;2868,281717; 
748;Ireland;Aniar Offshore Array Phase 1;;500;Planned;;12758,76014; 
749;Ireland;Aniar Offshore Array Phase 2;;500;Planned;;19210,47663; 
750;Ireland;Arranmore Wind;;1000;Planned;;20102,22746; 
751;Ireland;Atlantic Marine Energy Test Site;;10;Test site;;10314,88811; 
752;Ireland;Banba Wind;;1000;Planned;;13553,62732; 
753;Ireland;Blackwater;;1500;Planned;;34688,58512; 
754;Ireland;Bore Array;;500;Planned;;16347,51243; 
755;Ireland;Celtic Horizon;;700;Planned;;14206,14707; 
756;Ireland;Celtic Offshore Renewable Energy;;1680;Planned;;67589,98255; 
757;Ireland;Celtic One;;800;Planned;;21928,75938; 
758;Ireland;Celtic Two;;800;Planned;;64429,09864; 
759;Ireland;Clarus;;1000;Planned;;27917,57028; 
760;Ireland;Cork Offshore Wind;;1000;Planned;;31014,59518; 
761;Ireland;Dublin;;2500;Planned;;9205,841808; 
762;Ireland;East Celtic;;900;Planned;;19662,61629; 
763;Ireland;Emerald - Commercial;;700;Planned;;41647,6605; 
764;Ireland;Emerald - Demonstration;;300;Planned;;41647,6605; 
765;Ireland;Greystones;;1000;Planned;;24171,78649; 
766;Ireland;Haven Offshore Array;;;Planned;;29137,58406; 
767;Ireland;Helvick Head;;800;Planned;;18322,47782; 
768;Ireland;Ilen Array;;1500;Planned;;8416,235749; 
769;Ireland;Inis Offshore Wind Kerry;;1000;Planned;;10083,52626; 
770;Ireland;Inis Offshore Wind Leinster;;500;Planned;;27481,82176; 
771;Ireland;Inis Offshore Wind Munster;;1000;Planned;;17174,93414; 
772;Ireland;Kinsale;;1000;Planned;;24161,79795; 
773;Ireland;Latitude 52;;1000;Planned;;19402,09475; 
774;Ireland;Lir Offshore Array;;2000;Planned;;13995,82862; 
775;Ireland;Loch Garman;;750;Planned;;7505,284528; 
776;Ireland;Mac Lir Offshore Wind;;1000;Planned;;26066,33044; 
777;Ireland;Malin Wind;;1000;Planned;;34479,73628; 
778;Ireland;Moneypoint Offshore One;;400;Planned;;20416,31856; 
779;Ireland;Moneypoint Offshore Two;;1100;Planned;;38973,07209; 
